ID,Message,SPAM
615317,Linda msg!,True
855344,To fazendo batida de kwui com coco,True
1007222,"Esse dinheiro só vai sair para quem está com o nome na lista
Esse dinheiro só vai sair para quem está com o nome na lista
????
????
👍👍
👍👍",True
811063,Isso msm Irmã.. nao lembrava dos nomes kkk,True
913944,Ai xara eu sujiro esse,True
565356,"Muito bom add vcs!!!
Bom dia
Sou de Nova Friburgo e nao perco um programa!!!
Acordo com vcs!!👍👍👍",True
852832,"Barata andando no supermercados extra de pilares
Não é a primeira vez que esse tipo de coisa acontece",False
309309,Sua cachorrera me responde,True
696871,"vai la esperar tony ent
eu nao assisto muito filme",True
743238,"Bom dia!!! O Bom Dia Rio está noticiando uma reportagem sobre a saúde pública do Hospital Aluísio Cardoso e veiculou a informação que uma paciente enviou uma MSG em um bilhete informando q teria que comprar o medicamento Sildenafila, pois o hospital não tinha disponível. Trata-se do princípio ativo do Cialis, medicamento para disfunção erétil. Acho q isso não é tão grave né??!!!",False
832898,"A filial capixaba da famosa churrascaria Porção está de portas fechadas e seus funcionários iniciaram uma mobilização para requerer salários atrasados. Segundo a advogada que representa a maioria dos empregados, a situação está se arrastando há mais de um ano. “Já aconteceu de o pagamento sair com 15, 20 dias de atraso, mas desta vez já se passaram mais de três meses”, afirma Marta Rose Vimercati.

A advogada diz também que o atraso é só uma parte dos problemas. “Em alguns casos, não estão sendo recolhidos FGTS e INSS; em outros, não foram pagas as devidas horas-extras. Tem até ações que informam que o restaurante serviu comida vencida aos funcionários e os obrigaram a conter princípios de incêndios”, contou Marta. Ainda de acordo com a advogada, mais de 60 dos 80 funcionários capixabas do grupo entraram com ações contra a churrascaria. 

O medo maior dos empregados é que a casa, fechada há algumas semanas para – segundo diz o informe colado na porta – a realização de auditoria e balanço, não reabra e encerre suas atividades sem quitar suas dívidas com quadro funcional. Por isso, parte dos funcionários se reuniu, nesta terça-feira (23), na porta da churrascaria para uma manifestação pacífica.

Versão do empregador

Em entrevista ao jornal Folha Vitória, o presidente da Brascarnes, empresa que controla o grupo, Lucas Zanchetta, afirmou que o fechamento das lojas Porção Gourmet de Vila Velha e do Norte Shopping, empreendimento localizado na região metropolitana do Rio de Janeiro, foi necessário para prestação de contas junto à Bolsa de Valores e à CVM. 

Atual administrador do grupo Porcão, Zanchetta garantiu a reabertura da loja na próxima segunda-feira (29), com novos investimentos em estrutura e no quadro funcional. “Admitimos que houve atrasos nos salários, mas não de tanto tempo assim. Vamos corrigir os erros da gestão anterior e investir pesado em nossas filiais. Sabemos que existem famílias que dependem da gente”, declarou. 

A Brascarnes assumiu o controle do grupo Porção em março deste ano. As lojas recebem investimentos de 35 fundos e é uma sociedade de capital aberto",False
989320,"kkkk
kkkk
alguem tem baseado aee ?
alguem tem baseado aee ?
neh .
neh .
kakak@ .
kakak@ .",True
428949,"E o lixo se acumula na Rua Jaceguai na Tijuca, próximo ao Maracanã, ponto turístico e palco das Olimpíadas 2016. Uma lastima, uma vergonha para a cidade maravilhosa que completa 450 anos...",False
812133,"👀
😏
Keredo
🙈🙈
Nem eu
🙈",True
321409,"Precisamos de uma equipe de reportagem para documentar o abandono da cabina da PM na Praça da Medalha Milagrosa , construida pelos moradores e está som policial colocando todos nos com total falta de segurança.",False
448358,Parece um umpa limpa,False
601231,"A população também não ajuda. Trem da supervia pichado.
Ate os bancos pichados",False
797346,"vsf mlq
para de manda isso lixo
aki tbm
vsf
lixo vsf
apaguei
travo aki lixao",True
952277,Louvado seja Deus!!!!🙏🙏,True
887162,"Fala mano Artur
estou de servico hoje
presidio
Bangu 8
hoje dia de banho de sol deles
Vou compra uma piscina p eles
Pode cre
vamos marca p bebe um gelo eu vc paola , taty , gordinho so os solteiros rsrs
Bangu 8 e so policia e melicianos
Batman foi pr parana presidio federal
gordinho falou q esta solteiro tbm
E verdadi
mais um solteiro premeiro foi Paola , depois taty , agora gordinho , esta fogo isso
mi em formaro q ta
quente apampa
Sim
gordinho vai mora com o Lori agora
Pode cre
sumiro do grupo
E
koe Artur vou fazer a contagem dos detentos aqui
Valeu
apareceu
ai Artur ela apareceu
Koe tati estou sabendo q vc e a mais nova solteira da pista",True
858556,"Precisamos de fotos das teta 😏😈
Tefinha não da pra te add no face
Manda da buceta então
Faça o grupo feliz mande nudeis
Faça o grupo feliz mande nudeis
Faça o grupo feliz mande nudeis
Faça o grupo feliz mande nudeis
Mando olhinho quê da o cuzinho
Deve te as teta pequena e ta com vergonha
Quero ver tetas
Quero ver tetas
Quero ver tetas
Quero ver tetas
Quero ver tetas
Boiola não pede pra amostrar as teta
Fica de  4 pelada pra tu ver quem eh boiola
A mamita querida
Criança kkkkkkkk
Falou a meni a que tem 14 anos
A mina me chama de criança mais tem 6 anos a menos que eu
Mais é gostosa
😂😂😂😂😂😂😂
Tenho 21 anos sou universitário e etleta sou o exemplo desse grupo 😌
Desde que compete é atleta
Pra não ter briga as duas da foto se chupa enquanto assistimos
Fei bate uma punheta que essa sua escravidão de buceta alivia um pouco
[26&#x2F;6 17:47] Índio Estrupado: Minha pirocamandou Abraços
[26&#x2F;6 17:47] Índio Estrupado: 👋
A Carol é mais gostosa e mais simpática
Valdivia 😍😍
Valdivia 😍😍
Valdivia 😍😍
😕
😐
Vão se fude ta passando malhação",True
853550,"Chegar a estação cidade nova
Acompanhando o trem da Supervia pelo metro
Raphael
Raphael Vital",False
674947,Por favor me ajudem,False
582719,"Quem add esse negru no grupo??;-;
Mlk desumilde ;-;
Kkkk
E tenho ps2 e jogo jetea San Andreas :V
Feladapota :V
Kkkkkkkjj
Vo manda a Thaisná rouba seu ps4 e vende pra min baratin :V
10 conto +prancha d surf +e parafina ....bora Thaisná? :V",True
399918,acabei de almoçar e do TR cara com essa foto q o allisson mandou 😷,True
